SS-SS2S
0m 8s (- 8m 47s) (500 1%) avg loss: 1.2638 
avg bleu: 0.5065 
running acc: 0.0080 
ind acc avg: 0.4230
stack len avg: 3.0115
0m 17s (- 8m 13s) (1000 3%) avg loss: 0.7533 
avg bleu: 0.6406 
running acc: 0.0160 
ind acc avg: 0.5937
stack len avg: 4.6502
0m 25s (- 8m 7s) (1500 5%) avg loss: 0.7495 
avg bleu: 0.6405 
running acc: 0.0160 
ind acc avg: 0.5913
stack len avg: 6.1003
0m 35s (- 8m 14s) (2000 6%) avg loss: 0.7096 
avg bleu: 0.6715 
running acc: 0.0240 
ind acc avg: 0.6133
stack len avg: 5.3072
0m 44s (- 8m 14s) (2500 8%) avg loss: 0.7396 
avg bleu: 0.6523 
running acc: 0.0140 
ind acc avg: 0.5967
stack len avg: 6.3424
0m 54s (- 8m 11s) (3000 10%) avg loss: 0.6987 
avg bleu: 0.6708 
running acc: 0.0160 
ind acc avg: 0.6280
stack len avg: 6.0473
1m 5s (- 8m 13s) (3500 11%) avg loss: 0.7233 
avg bleu: 0.6413 
running acc: 0.0080 
ind acc avg: 0.6077
stack len avg: 6.5208
1m 15s (- 8m 7s) (4000 13%) avg loss: 0.7365 
avg bleu: 0.6655 
running acc: 0.0240 
ind acc avg: 0.6063
stack len avg: 6.2837
1m 24s (- 8m 0s) (4500 15%) avg loss: 0.7397 
avg bleu: 0.6580 
running acc: 0.0160 
ind acc avg: 0.6067
stack len avg: 5.7658
1m 34s (- 7m 51s) (5000 16%) avg loss: 0.7321 
avg bleu: 0.6490 
running acc: 0.0180 
ind acc avg: 0.6090
stack len avg: 5.8513
1m 45s (- 7m 48s) (5500 18%) avg loss: 0.7388 
avg bleu: 0.6640 
running acc: 0.0240 
ind acc avg: 0.6150
stack len avg: 6.4527
1m 55s (- 7m 41s) (6000 20%) avg loss: 0.7807 
avg bleu: 0.6491 
running acc: 0.0240 
ind acc avg: 0.5870
stack len avg: 7.0391
2m 5s (- 7m 33s) (6500 21%) avg loss: 0.7513 
avg bleu: 0.6573 
running acc: 0.0160 
ind acc avg: 0.6117
stack len avg: 6.8889
2m 17s (- 7m 31s) (7000 23%) avg loss: 0.7773 
avg bleu: 0.6478 
running acc: 0.0160 
ind acc avg: 0.5890
stack len avg: 7.4308
2m 29s (- 7m 27s) (7500 25%) avg loss: 0.7645 
avg bleu: 0.6678 
running acc: 0.0220 
ind acc avg: 0.6190
stack len avg: 7.2432
2m 40s (- 7m 20s) (8000 26%) avg loss: 0.7766 
avg bleu: 0.6604 
running acc: 0.0120 
ind acc avg: 0.6073
stack len avg: 7.2729
2m 52s (- 7m 16s) (8500 28%) avg loss: 0.8098 
avg bleu: 0.6463 
running acc: 0.0160 
ind acc avg: 0.5947
stack len avg: 7.0623
3m 2s (- 7m 6s) (9000 30%) avg loss: 0.8429 
avg bleu: 0.6422 
running acc: 0.0360 
ind acc avg: 0.6013
stack len avg: 7.0008
3m 13s (- 6m 56s) (9500 31%) avg loss: 0.8342 
avg bleu: 0.6388 
running acc: 0.0060 
ind acc avg: 0.5897
stack len avg: 6.2079
3m 23s (- 6m 47s) (10000 33%) avg loss: 0.8459 
avg bleu: 0.6448 
running acc: 0.0080 
ind acc avg: 0.5823
stack len avg: 6.1213
3m 34s (- 6m 37s) (10500 35%) avg loss: 0.8134 
avg bleu: 0.6589 
running acc: 0.0140 
ind acc avg: 0.5987
stack len avg: 6.2848
3m 45s (- 6m 28s) (11000 36%) avg loss: 0.8240 
avg bleu: 0.6513 
running acc: 0.0200 
ind acc avg: 0.5863
stack len avg: 7.1129
3m 55s (- 6m 18s) (11500 38%) avg loss: 0.8392 
avg bleu: 0.6569 
running acc: 0.0240 
ind acc avg: 0.5963
stack len avg: 6.1606
4m 5s (- 6m 7s) (12000 40%) avg loss: 0.8318 
avg bleu: 0.6510 
running acc: 0.0160 
ind acc avg: 0.5977
stack len avg: 3.6123
4m 15s (- 5m 57s) (12500 41%) avg loss: 0.8183 
avg bleu: 0.6566 
running acc: 0.0220 
ind acc avg: 0.5960
stack len avg: 5.0447
4m 25s (- 5m 47s) (13000 43%) avg loss: 0.8843 
avg bleu: 0.6401 
running acc: 0.0220 
ind acc avg: 0.5850
stack len avg: 5.4991
4m 35s (- 5m 36s) (13500 45%) avg loss: 0.9720 
avg bleu: 0.6121 
running acc: 0.0100 
ind acc avg: 0.5513
stack len avg: 5.9494
4m 45s (- 5m 26s) (14000 46%) avg loss: 0.9280 
avg bleu: 0.6153 
running acc: 0.0120 
ind acc avg: 0.5553
stack len avg: 5.5373
4m 55s (- 5m 16s) (14500 48%) avg loss: 0.8919 
avg bleu: 0.6149 
running acc: 0.0280 
ind acc avg: 0.5650
stack len avg: 5.5387
5m 6s (- 5m 6s) (15000 50%) avg loss: 0.9080 
avg bleu: 0.6293 
running acc: 0.0180 
ind acc avg: 0.5720
stack len avg: 6.1905
5m 16s (- 4m 56s) (15500 51%) avg loss: 0.9084 
avg bleu: 0.6253 
running acc: 0.0100 
ind acc avg: 0.5640
stack len avg: 6.1363
5m 27s (- 4m 46s) (16000 53%) avg loss: 0.8947 
avg bleu: 0.6275 
running acc: 0.0060 
ind acc avg: 0.5600
stack len avg: 7.0422
5m 37s (- 4m 36s) (16500 55%) avg loss: 0.8652 
avg bleu: 0.6553 
running acc: 0.0200 
ind acc avg: 0.5900
stack len avg: 7.1307
5m 47s (- 4m 25s) (17000 56%) avg loss: 0.9218 
avg bleu: 0.6317 
running acc: 0.0200 
ind acc avg: 0.5780
stack len avg: 7.3412
5m 56s (- 4m 14s) (17500 58%) avg loss: 0.9137 
avg bleu: 0.6312 
running acc: 0.0300 
ind acc avg: 0.5753
stack len avg: 7.2480
6m 7s (- 4m 5s) (18000 60%) avg loss: 0.9661 
avg bleu: 0.6050 
running acc: 0.0160 
ind acc avg: 0.5490
stack len avg: 6.3285
6m 18s (- 3m 55s) (18500 61%) avg loss: 0.8968 
avg bleu: 0.6342 
running acc: 0.0200 
ind acc avg: 0.5837
stack len avg: 5.8512
6m 28s (- 3m 45s) (19000 63%) avg loss: 0.9625 
avg bleu: 0.6155 
running acc: 0.0100 
ind acc avg: 0.5477
stack len avg: 5.0082
6m 38s (- 3m 34s) (19500 65%) avg loss: 1.0304 
avg bleu: 0.5985 
running acc: 0.0080 
ind acc avg: 0.5360
stack len avg: 1.5028
6m 48s (- 3m 24s) (20000 66%) avg loss: 0.9942 
avg bleu: 0.6151 
running acc: 0.0100 
ind acc avg: 0.5450
stack len avg: 1.1886
6m 57s (- 3m 13s) (20500 68%) avg loss: 1.0315 
avg bleu: 0.6086 
running acc: 0.0200 
ind acc avg: 0.5530
stack len avg: 0.6080
7m 7s (- 3m 3s) (21000 70%) avg loss: 1.1167 
avg bleu: 0.5864 
running acc: 0.0120 
ind acc avg: 0.5130
stack len avg: 0.6146
7m 17s (- 2m 52s) (21500 71%) avg loss: 1.0707 
avg bleu: 0.5781 
running acc: 0.0160 
ind acc avg: 0.5220
stack len avg: 1.1984
7m 28s (- 2m 42s) (22000 73%) avg loss: 1.0448 
avg bleu: 0.5847 
running acc: 0.0040 
ind acc avg: 0.5220
stack len avg: 0.8512
7m 39s (- 2m 33s) (22500 75%) avg loss: 1.1168 
avg bleu: 0.5869 
running acc: 0.0120 
ind acc avg: 0.5170
stack len avg: 1.3092
7m 48s (- 2m 22s) (23000 76%) avg loss: 1.1288 
avg bleu: 0.5787 
running acc: 0.0100 
ind acc avg: 0.5037
stack len avg: 1.0248
7m 58s (- 2m 12s) (23500 78%) avg loss: 1.0510 
avg bleu: 0.6050 
running acc: 0.0180 
ind acc avg: 0.5297
